"","trip_id","direction_id","route_id","date_time","vehicle_id","segement","segement_name","segement_type","time_diff","ttl_diff","speed_avg","flag_peak","time_diff_pct"
"59","10907279__MCOB-DO:111:6:Sunday:1:23MAR:41041:1234567","north_bound",202,2023-05-21 17:06:49,17101,"497_482","18th_23rd","middle_middle",60,463.121388374396,17.2662151004111,"PMPeak",0.0429491768074445
"60","10907279__MCOB-DO:111:6:Sunday:1:23MAR:41041:1234567","north_bound",202,2023-05-21 17:09:20,17101,"537_509","ramp_14th","middle_middle",60,983.259008551143,36.658124559206,"PMPeak",0.0429491768074445
"61","10907279__MCOB-DO:111:6:Sunday:1:23MAR:41041:1234567","north_bound",202,2023-05-21 17:14:20,17101,"636_537","4th_ramp","middle_middle",300,4881.82310859192,36.4010861908039,"PMPeak",0.214745884037223
"62","10907279__MCOB-DO:111:6:Sunday:1:23MAR:41041:1234567","north_bound",202,2023-05-21 17:21:36,17101,"657_636","grove_4th","middle_middle",436,1274.55797004009,6.53923075061835,"PMPeak",0.31209735146743
"63","10907279__MCOB-DO:111:6:Sunday:1:23MAR:41041:1234567","north_bound",202,2023-05-21 17:25:06,17101,"689_657","88th_grove","middle_middle",210,1517.26977208595,16.162073213766,"PMPeak",0.150322118826056
"64","10907279__MCOB-DO:111:6:Sunday:1:23MAR:41041:1234567","north_bound",202,2023-05-21 17:26:36,17101,"712_689","100th_88th","end_middle",90,1051.81729000948,26.1427551271626,"PMPeak",0.0644237652111668
"65","10907309__MCOB-DO:111:6:Sunday:1:23MAR:41043:1234567","south_bound",202,2023-05-21 17:28:38,11120,"459_712","Hewitt_100th","end_end",1413,12314.2439355492,19.4948163993006,"PMPeak",1
"66","10907309__MCOB-DO:111:6:Sunday:1:23MAR:41043:1234567","south_bound",202,2023-05-21 17:28:38,11120,"482_459","23rd_Hewitt","middle_end",119,1009.55627550251,18.9774182915755,"PMPeak",0.0842179759377212
"67","10907309__MCOB-DO:111:6:Sunday:1:23MAR:41043:1234567","south_bound",202,2023-05-21 17:26:39,11120,"497_482","18th_23rd","middle_middle",60,922.766130524515,34.4028129491831,"PMPeak",0.0424628450106157
"68","10907309__MCOB-DO:111:6:Sunday:1:23MAR:41043:1234567","south_bound",202,2023-05-21 17:24:09,11120,"537_509","ramp_14th","middle_middle",150,1418.17089407436,21.1490501807142,"PMPeak",0.106157112526539
